Country,Crime Rate,Unemployment (%),HDI,Population Density (per sq. km),Weapons per 100 persons,Per Capita Income,Gini Coefficient,Literacy Rate,Happiness Index
Afghanistan,76.31,11.20,0.51,57.00,12.50,508.00,27.80,0.38,2.52
Albania,42.53,11.30,0.80,100.00,12.00,"5,181.00",33.20,0.98,5.12
Algeria,52.03,11.50,0.75,18.00,2.10,"3,368.00",27.60,0.80,4.89
Argentina,63.82,7.00,0.85,16.00,7.40,"8,476.00",41.40,0.98,5.93
Armenia,22.79,7.70,0.78,99.00,6.10,"4,266.00",34.40,1.00,5.28
Australia,43.03,7.10,0.94,3.00,14.50,"55,823.00",34.40,0.99,7.18
Austria,25.54,5.70,0.92,106.00,30.00,"48,106.00",29.70,0.99,7.27
Azerbaijan,32.02,6.00,0.76,115.00,3.60,"4,202.00",26.60,1.00,5.17
Bangladesh,63.90,4.20,0.63,"1,087.00",0.40,"2,001.00",32.40,0.76,5.03
Belarus,59.58,4.60,0.82,46.00,6.10,"6,377.00",25.20,1.00,5.53
Belgium,44.58,5.30,0.93,376.00,12.70,"45,028.00",27.40,0.99,6.83
Bolivia,57.77,3.50,0.72,10.00,2.00,"3,133.00",42.20,0.96,5.72
Bosnia and Herzegovina,42.99,18.40,0.78,65.00,31.20,"6,035.00",33.00,0.99,5.81
Brazil,67.49,2.90,0.77,25.00,8.30,"6,797.00",53.30,0.92,6.33
Bulgaria,38.21,4.70,0.82,64.00,8.40,"10,058.00",40.40,0.98,5.27
Cambodia,51.13,0.70,0.59,90.00,4.50,"1,513.00",69.20,0.77,4.83
Cameroon,65.24,3.40,0.56,53.00,2.10,"1,502.00",46.60,0.75,5.14
Canada,41.89,6.90,0.93,4.00,34.70,"43,560.00",33.80,0.99,7.10
Chile,53.42,10.40,0.85,25.00,12.10,"13,232.00",44.40,0.97,6.17
China,30.14,6.70,0.76,149.00,3.60,"10,229.00",38.50,0.96,5.34
Colombia,56.87,14.20,0.77,43.00,10.10,"5,333.00",50.40,0.95,6.01
Costa Rica,54.22,22.00,0.81,98.00,10.00,"12,077.00",48.00,0.79,7.07
Croatia,24.59,7.50,0.85,73.00,13.70,"13,934.00",30.40,0.98,5.88
Cyprus,31.28,9.40,0.89,129.00,34.00,"28,133.00",31.40,1.00,6.22
Czech Republic,25.52,9.30,0.90,135.00,12.50,"22,911.00",24.90,0.99,6.97
Denmark,26.22,5.70,0.94,133.00,9.90,"61,477.00",28.70,0.99,7.62
Dominican Republic,61.02,5.90,0.76,221.00,7.40,"7,268.00",43.70,0.92,5.55
Ecuador,55.23,4.90,0.76,67.00,2.40,"5,600.00",45.40,0.68,5.76
Egypt,46.83,5.70,0.71,98.00,4.10,"3,609.00",31.50,0.95,4.28
El Salvador,67.79,4.20,0.67,305.00,12.00,"3,799.00",38.60,0.75,6.06
Estonia,23.71,6.80,0.89,29.00,5.00,"23,106.00",30.40,0.74,6.19
Ethiopia,49.30,1.50,0.49,99.00,0.40,840.00,35.00,0.49,4.28
Finland,27.59,8.40,0.94,16.00,32.40,"48,685.00",27.40,0.99,7.84
France,51.99,11.90,0.90,118.00,19.60,"38,959.00",31.60,0.99,6.69
Georgia,23.38,20.40,0.81,57.00,10.10,"3,984.00",36.40,1.00,4.89
